"prolific_id","title","cond","item_idx","item_id","q_id","a_id","question","answer","rt","time"
"60c4691787a92ea2736450d4","hControl",,"0","2","0","0","Ben sees that an empty runaway boxcar is headed down a track. There  is nobody on the track. There is one person working on a side track. If Ben flips the switch, the boxcar will turn onto the side track and hit the one person. If Ben does not flip the switch, the boxcar will continue on the track, and nobody will be hit. Is flipping the switch the right thing to do?","No","45139","2022-09-21 13:24:27"
"60c4691787a92ea2736450d4","hControl",,"0","2","1","1","Why?","Because it would mean someone dies unnessecarily ","45139","2022-09-21 13:24:27"
"60c4691787a92ea2736450d4","ikPond",,"1","9","0","0","James is hiking through a foreign land when he comes across a remote  village. James learns that one of the villagers fell into a cursed pond but, contrary to local superstition, did not die. If the one villager does not die by sunrise, five other innocent and unwilling villagers will be sacrificed to the gods to thank them for sparing the one. James, who has some medical training, realizes that he can prevent the sacrifice of the five villagers if he secretly poisons the one villager. If James poisons the one, the one will be dead by sunrise, and the five will not be sacrificed. If James does not poison the one, the one will not be dead by sunrise, and the five will be sacrificed as planned. Is poisoning the one the right thing to do?","Yes","57640","2022-09-21 13:25:25"
"60c4691787a92ea2736450d4","ikPond",,"1","9","1","1","Why?","In this case it is better to save 5 lives than 1","57640","2022-09-21 13:25:25"
"60c4691787a92ea2736450d4","ilBoxcar",,"2","8","0","0","Jeff sees that an empty runaway boxcar is about to hit five people  working on the track ahead. They are too far away to be warned. The only way to stop the boxcar is for it to hit something heavy. One person, unaware of the boxcar, is about to walk in front of the tracks. This person, if hit, will cause the boxcar to stop. If Jeff shouts out a warning to the one person, the one person will stop and not be hit by the boxcar, and the boxcar will hit the five people. If Jeff does not shout out a warning, the one person will walk in front of the boxcar, the boxcar will hit the one and therefore stop before it hits the five people. Is not warning the one person the right thing to do?","No","41927","2022-09-21 13:26:07"
"60c4691787a92ea2736450d4","ilBoxcar",,"2","8","1","1","Why?","If he does not warn the person, five people will be saved.","41927","2022-09-21 13:26:07"
"62348a574fc351980c10604d","flCar",,"0","28","1","1","Why?","Because it will save more people","62640","2022-09-21 13:26:48"
"62348a574fc351980c10604d","flCar",,"0","28","0","0","Jack is driving five sick people to the hospital. They are in critical  condition and will die if Jack makes any stops along the way. In his hurry to pack them in the car Jack slams the door on a few feet of thick cord that is now dangling beside the car. Jack takes the fastest route to the hospital, which is a narrow, unpaved mountain pass. On his way, Jack sees a rock climber hanging onto the side of the mountain beside the road. The rock climber is losing control and is about to fall to his death, but he could be saved if he had a cord to pull himself up. If Jack slows to a stop the rock climber will be able to use the cord dangling from the side of the car to pull himself up to safety, but it will be too late to save the five people. If Jack continues to drive, the one person will fall to his death and the five will be saved. Is continuing to drive the right thing to do?","Yes","62640","2022-09-21 13:26:48"
"60c4691787a92ea2736450d4","fkSpeed",,"3","11","0","0","Matt is driving a motorboat when he notices five swimmers drowning in the  distance. If Matt does not drive toward them at top speed he will not arrive in time, and all five will die. In order to drive at top speed, Matt must accelerate quickly. Accelerating quickly will also cause a passenger to tumble off the back of the boat. This passenger cannot swim and will drown. If Matt accelerates quickly, the one passenger will drown, but Matt will save the five drowning swimmers. If Matt does not accelerate quickly, the one passenger will stay safely on the boat, but the five swimmers will drown. Is accelerating quickly the right thing to do?","No","62274","2022-09-21 13:27:10"
"60c4691787a92ea2736450d4","fkSpeed",,"3","11","1","1","Why?","The person on the boat is likely to be a friend of relative","62274","2022-09-21 13:27:10"
